X,Y,OBJECTID,ProjectRegion,Site_Code,siteid,habitatid,sitename,stationid,subRegionId,length,offshoreDepth,First_Year,Latest_Year,latDD,lonDD
-80.34749731,25.17359542,1,FKNMS,9H1,10,HB,Rattlesnake,101,UK,23,6,1996,2000,25.1736,-80.3475
-80.34749731,25.17359542,2,FKNMS,9H1,10,HB,Rattlesnake,102,UK,22,6,1996,2001,25.1736,-80.3475
-80.34749731,25.17359542,3,FKNMS,9H1,10,HB,Rattlesnake,103,UK,23,6,1996,2001,25.1736,-80.3475
-80.34749731,25.17359542,4,FKNMS,9H1,10,HB,Rattlesnake,104,UK,25,6,1996,2000,25.1736,-80.3475
-80.37819731,25.12009544,5,FKNMS,9H2,11,HB,El Radabob,111,UK,22,9,1996,2000,25.1201,-80.3782
-80.37819731,25.12009544,6,FKNMS,9H2,11,HB,El Radabob,112,UK,22,9,1996,2005,25.1201,-80.3782
-80.37819731,25.12009544,7,FKNMS,9H2,11,HB,El Radabob,113,UK,22,9,1996,2000,25.1201,-80.3782
-80.37819731,25.12009544,8,FKNMS,9H2,11,HB,El Radabob,114,UK,22,9,1996,2005,25.1201,-80.3782
-80.46839728,25.04469546,9,FKNMS,9H3,12,HB,Dove Key,121,UK,22,8,1996,2000,25.0447,-80.4684
-80.46839728,25.04469546,10,FKNMS,9H3,12,HB,Dove Key,122,UK,22,8,1996,2001,25.0447,-80.4684
-80.46839728,25.04469546,11,FKNMS,9H3,12,HB,Dove Key,123,UK,22,8,1996,2001,25.0447,-80.4684
-80.46839728,25.04469546,12,FKNMS,9H3,12,HB,Dove Key,124,UK,22,8,1996,2000,25.0447,-80.4684
-80.7839972,24.79719553,13,FKNMS,7H2,14,HB,Long Key,141,MK,22,12,1996,2008,24.7972,-80.784
-80.7839972,24.79719553,14,FKNMS,7H2,14,HB,Long Key,142,MK,22,12,1996,2008,24.7972,-80.784
-80.7839972,24.79719553,15,FKNMS,7H2,14,HB,Long Key,143,MK,22,12,1996,2008,24.7972,-80.784
-80.7839972,24.79719553,16,FKNMS,7H2,14,HB,Long Key,144,MK,22,12,1996,2008,24.7972,-80.784
-81.16759709,24.68909556,17,FKNMS,5H1,15,HB,Moser Channel,151,MK,22,12,1996,2000,24.6891,-81.1676
-81.16759709,24.68909556,18,FKNMS,5H1,15,HB,Moser Channel,152,MK,22,12,1996,2007,24.6891,-81.1676
-81.16759709,24.68909556,19,FKNMS,5H1,15,HB,Moser Channel,153,MK,22,12,1996,2000,24.6891,-81.1676
-81.16759709,24.68909556,20,FKNMS,5H1,15,HB,Moser Channel,154,MK,22,12,1996,2007,24.6891,-81.1676
-81.19049708,24.67559557,21,FKNMS,5H2,16,HB,Molasses Keys,161,MK,22,14,1996,2000,24.6756,-81.1905
-81.19049708,24.67559557,22,FKNMS,5H2,16,HB,Molasses Keys,162,MK,22,14,1996,2001,24.6756,-81.1905
-81.19049708,24.67559557,23,FKNMS,5H2,16,HB,Molasses Keys,163,MK,22,14,1996,2001,24.6756,-81.1905
-81.19049708,24.67559557,24,FKNMS,5H2,16,HB,Molasses Keys,164,MK,22,14,1996,2000,24.6756,-81.1905
-81.48889699,24.82209553,25,FKNMS,3H1,18,BCP,Content Keys,181,LK,23,18,1996,2015,24.8221,-81.4889
-81.48889699,24.82209553,26,FKNMS,3H1,18,BCP,Content Keys,182,LK,23,18,1996,2015,24.8221,-81.4889
-81.48889699,24.82209553,27,FKNMS,3H1,18,BCP,Content Keys,183,LK,24,18,1996,2015,24.8221,-81.4889
-81.48889699,24.82209553,28,FKNMS,3H1,18,BCP,Content Keys,184,LK,22,18,1996,2015,24.8221,-81.4889
-80.43899729,25.02189546,29,FKNMS,9P5,21,P,Two Patches,211,UK,21,8,2009,2015,25.0219,-80.439
-80.43899729,25.02189546,30,FKNMS,9P5,21,P,Two Patches,212,UK,21,9,2009,2015,25.0219,-80.439
-80.43899729,25.02189546,31,FKNMS,9P5,21,P,Two Patches,213,UK,23,7,2014,2015,25.0219,-80.439
-80.43899729,25.02189546,32,FKNMS,9P5,21,P,Two Patches,214,UK,23,8,2014,2015,25.0219,-80.439
-80.46689728,24.99919547,33,FKNMS,9P6,22,P,Burr Fish,221,UK,22,15,2009,2015,24.9992,-80.4669
-80.46689728,24.99919547,34,FKNMS,9P6,22,P,Burr Fish,222,UK,20,17,2009,2015,24.9992,-80.4669
-80.46689728,24.99919547,35,FKNMS,9P6,22,P,Burr Fish,223,UK,22,15,2014,2015,24.9992,-80.4669
-80.46689728,24.99919547,36,FKNMS,9P6,22,P,Burr Fish,224,UK,22,16,2014,2015,24.9992,-80.4669
-80.93569715,24.71759555,37,FKNMS,7P3,23,P,Rawa Reef,231,MK,24,20,2009,2015,24.7176,-80.9357
-80.93569715,24.71759555,38,FKNMS,7P3,23,P,Rawa Reef,232,MK,24,22,2009,2015,24.7176,-80.9357
-80.93569715,24.71759555,39,FKNMS,7P3,23,P,Rawa Reef,233,MK,22,22,2014,2015,24.7176,-80.9357
-80.93569715,24.71759555,40,FKNMS,7P3,23,P,Rawa Reef,234,MK,21,22,2014,2015,24.7176,-80.9357
